"Company Name","Country","Industry","Employee Range","Revenue Range","Time spent","Pages viewed","Domain","Initial Page seen","Campaign","Channel"
"HCL","India","Software and Technology","10,000+","$5B+","> 30mins","","hcl.com","staging-app.factors.ai","$none","Direct"
"Atmiya University","India","Education","100 - 249","$1M - $5M","> 30mins","","atmiyauni.ac.in","factors-dev.com:3000","$none","Direct"
"Doyenhub Software Solution","India","Software and Technology","20 - 49","$1M - $5M","> 30mins","","doyenhub.com","factors-dev.com:3000","$none","Direct"
"V&S Design Partners","India","Software and Technology","0 - 9","$1M - $5M","> 30mins","","vs-dp.com","factors-dev.com:3000","$none","Direct"
"Barclays","United States","Financial Services","10,000+","$5B+","> 30mins","","home.barclays","localhost:3000/analyse","$none","Direct"
"PARAMATRIX INFO SOLUTIONS PVT LTD","India","Software and Technology","20 - 49","$5M - $10M","> 30mins","","paramatrixinfo.com","localhost:3000/analyse","$none","Direct"
"","India","Business Services","0 - 9","$none","> 30mins","","$none","staging-app.factors.ai","$none","Direct"
"UNOTEAM SOFTWARE PVT. LTD","India","Software and Technology","10 - 19","$1M - $5M","> 30mins","","unoteams.com","localhost:3000/analyse","$none","Direct"
"QUALCOMM Incorporated","India","Hardware","10,000+","$5B+","> 30mins","","qualcomm.com","localhost:3000/analyse","$none","Direct"
"India","India","Software and Technology","10 - 19","$5M - $10M","> 30mins","","indiaevm.org","factors-dev.com:3000/login","$none","Direct"
"Hootsuite","India","Business Services","0 - 9","$250M - $500M","> 30mins","","hootsuite.com","staging-app.factors.ai","$none","Direct"
"United Technolink Pvt Ltd","India","Software and Technology","20 - 49","$1M - $5M","> 30mins","","unitedtechnolink.com","localhost:3000/analyse","$none","Direct"
"SRM Institute Of Science & Technology","India","Education","10,000+","$50M - $100M","> 30mins","","srmist.edu.in","localhost:3000/analyse","$none","Direct"
"International Business Machines Corporation (IBM)","India","Software and Technology","10,000+","$5B+","> 30mins","","ibm.com","staging-app.factors.ai/accounts/segments/3e8eb2da-f532-4cb0-9d3a-8d73d6e03b31","$none","Direct"
"Accenture","India","Business Services","0 - 9","$5B+","> 30mins","","accenture.com","localhost:3000/analyse","$none","Direct"
"Noida International Airport","India","Transportation and Logistics","1,000 - 4,999","$5B+","> 30mins","","niairport.in","localhost:3000/analyse","$none","Direct"
"BrightEdge","India","Software and Technology","250 - 499","$50M - $100M","> 30mins","","brightedge.com","localhost:3000/analyse","$none","Direct"
"Tech Mahindra Ltd","India","Business Services","10,000+","$5B+","> 30mins","","techmahindra.com","localhost:3000/analyse","$none","Direct"
"SMARTCIRQLS INFOTECH","India","Software and Technology","20 - 49","$10M - $25M","25m 42s","","smartcirqls.com","factors-dev.com:3000/login","$none","Direct"
"Amadeus IT Group SA","India","Business Services","10,000+","$5B+","25m 16s","","amadeus.com","staging-app.factors.ai/accounts/segments/3e8eb2da-f532-4cb0-9d3a-8d73d6e03b31","$none","Direct"
"INNOVATIVE TELECOM & SOFTWARES","India","Retail and Distribution","20 - 49","$1M - $5M","25m 13s","","innovative.co.in","factors-dev.com:3000","$none","Direct"
"Jdjd","India","Software and Technology","10 - 19","$10M - $25M","13m 22s","","jdjd.com","app.factors.ai","$none","Direct"
"Verticurl","India","Business Services","1,000 - 4,999","$100M - $250M","11m 27s","","verticurl.com","localhost:3000/analyse","$none","Direct"
"Factors.Ai","India","Software and Technology","20 - 49","$5M - $10M","9m 37s","","factors.ai","localhost:3000/analyse","$none","Direct"
"Symbiosis","India","Education","1,000 - 4,999","$250M - $500M","7m 40s","","siom.in","app.factors.ai/login","$none","Direct"
"Cognizant Technology Solutions Corporation","India","Business Services","10,000+","$5B+","7m 32s","","cognizant.com","localhost:3000/analyse","$none","Direct"
"Vonage Holdings Corp.","United States","Telecommunications","1,000 - 4,999","$1B - $2.5B","6m 27s","","vonage.com","staging-app.factors.ai/login","$none","Direct"
"Infopercept Consulting","India","Software and Technology","50 - 99","$10M - $25M","5m 54s","","infopercept.com","factors-dev.com:3000","$none","Direct"
"Ahmedabad University","India","Education","250 - 499","$50M - $100M","5m 39s","","ahduni.edu.in","factors-dev.com:3000","$none","Direct"
"ACF Technologies","United States","Software and Technology","50 - 99","$10M - $25M","5m 37s","","acftechnologies.com","www.factors.ai/pricing","$none","Direct"
"RudderStack","United States","Software and Technology","100 - 249","$10M - $25M","4m 28s","","rudderstack.com","staging-app.factors.ai/login","$none","Direct"
"Binmile Technologies","India","Software and Technology","100 - 249","$10M - $25M","4m 10s","","binmile.com","app.factors.ai/onboarding","$none","Direct"
"Wells Fargo & Company","India","Financial Services","10,000+","$5B+","3m 53s","","wellsfargo.com","app.factors.ai","$none","Direct"
"Mad Street Den","India","Software and Technology","100 - 249","$10M - $25M","3m 53s","","madstreetden.com","www.factors.ai","$none","Direct"
"H2O Agency","India","Consumer Goods and Services","10,000+","$none","3m 25s","","h2oagency.in","www.factors.ai","$none","Direct"
"Symphony Limited","India","Manufacturing","250 - 499","$250M - $500M","3m 23s","","symphonylimited.com","factors-dev.com:3000","$none","Direct"
"Motive","Pakistan","Software and Technology","1,000 - 4,999","$100M - $250M","2m 54s","","gomotive.com","www.factors.ai/versus/visitor-identification","TD_GDN_Remarketing_Competitors","Paid Search"
"Mastech Digital","India","Business Services","1,000 - 4,999","$250M - $500M","2m 53s","","mastechdigital.com","app.factors.ai","$none","Direct"
"SATCON","India","Business Services","10 - 19","$5M - $10M","2m 37s","","satcon.in","localhost:3000/analyse","$none","Direct"
"OptiSol Business Solutions","India","Software and Technology","250 - 499","$50M - $100M","2m 26s","","optisolbusiness.com","www.factors.ai","$none","Direct"
"Voyants Solutions Pvt Ltd","India","Construction","500 - 999","$250M - $500M","2m 22s","","voyants.in","www.factors.ai","$none","Direct"
"Red Hat","Bangladesh","Software and Technology","10,000+","$2.5B - $5B","2m 21s","","redhat.com","www.factors.ai/versus/visitor-identification","TD_GDN_Remarketing_Competitors","Paid Search"
"United International University","Bangladesh","Education","500 - 999","$100M - $250M","2m 21s","","uiu.ac.bd","www.factors.ai/versus/visitor-identification","TD_GDN_Remarketing_Competitors","Paid Search"
"Boston Technology Corporation","India","Software and Technology","100 - 249","$25M - $50M","1m 58s","","boston-technology.com","app.factors.ai/login","$none","Direct"
"6sense","India","Software and Technology","1,000 - 4,999","$100M - $250M","1m 58s","","6sense.com","www.factors.ai","$none","Direct"
"TCPL Packaging","India","Manufacturing","1,000 - 4,999","$250M - $500M","1m 53s","","tcpl.in","factors-dev.com:3000","$none","Direct"
"The Global Associates","India","Business Services","100 - 249","$10M - $25M","1m 40s","","theglobalassociates.com","www.factors.ai","$none","Direct"
"HOSTiQ.ua","Ukraine","Software and Technology","100 - 249","$1M - $5M","1m 38s","","hostiq.ua","www.factors.ai","$none","Direct"
"Nirma University","India","Education","1,000 - 4,999","$100M - $250M","1m 35s","","nirmauni.ac.in","www.factors.ai","$none","Direct"
"H2O.ai","India","Software and Technology","100 - 249","$50M - $100M","1m 31s","","h2o.ai","www.factors.ai","$none","Direct"
"LambdaTest","India","Software and Technology","250 - 499","$50M - $100M","1m 31s","","lambdatest.com","app.factors.ai","$none","Direct"
"Cloudelligent","Pakistan","Business Services","10 - 19","$1M - $5M","1m 31s","","cloudelligent.com","app.factors.ai","$none","Direct"
"Mu Sigma","India","Business Services","1,000 - 4,999","$500M - $1B","1m 29s","","mu-sigma.com","www.factors.ai/labs/do-leads-revisit-your-website-after-a-demo","$none","Organic Search"
"Raiffeisen Bank Russia","Russia","Financial Services","1,000 - 4,999","$100M - $250M","1m 27s","","raiffeisen.ru","www.factors.ai/blog/amplitude-alternatives","$none","Organic Search"
"IES UNIVERSITY BHOPAL","India","Education","100 - 249","$1M - $5M","1m 25s","","iesuniversity.ac.in","www.factors.ai/pricing","$none","Direct"
"Vestas Wind Systems A/S","India","Manufacturing","10,000+","$5B+","1m 24s","","vestas.com","www.factors.ai/pricing","$none","Direct"
"Columbia University","India","Education","10,000+","$5B+","1m 20s","","columbia.edu","app.factors.ai","$none","Referral"
"BrainCert","India","Education","20 - 49","$10M - $25M","1m 10s","","braincert.com","www.factors.ai","$none","Referral"
"Delhivery","India","Transportation and Logistics","10,000+","$500M - $1B","1m 10s","","delhivery.com","www.factors.ai","$none","Referral"
"StratMg","United States","Business Services","10 - 19","$10M - $25M","1m 9s","","stratmg.com","www.factors.ai/versus/lead-forensics","TD_Search_US_Deanon_Competition_Others","Paid Search"
"DVA Structural Consultants","India","Manufacturing","10 - 19","$1M - $5M","1m 7s","","dvastruct.co.in","www.factors.ai","$none","Referral"
"Jigsaw","United Kingdom","Telecommunications","20 - 49","$1M - $5M","1m 6s","","jigsaw.co","www.factors.ai","$none","Direct"
"Blusteak Media","India","Media and Entertainment","50 - 99","$1M - $5M","1m 6s","","blusteak.com","app.factors.ai/profiles/people/bWFub2ouYmhhbWlkaXBhdGlAYXV0b2Rlc2suY29t","$none","Direct"
"Fullview","United States","Software and Technology","10 - 19","$1M - $5M","1m 2s","","fullview.io","www.factors.ai","$none","Direct"
"Klenty","India","Software and Technology","100 - 249","$1M - $5M","59s","","klenty.com","app.factors.ai","$none","Direct"
"Deloitte","India","Business Services","10,000+","$5B+","58s","","deloitte.com","www.factors.ai","$none","Direct"
"OMNISITY LIMITED","United Kingdom","Business Services","10 - 19","$1M - $5M","58s","","omnisity.com","app.factors.ai","$none","Direct"
"INFINA Finance Pvt Ltd","India","Financial Services","20 - 49","$5M - $10M","58s","","infina.in","www.factors.ai","$none","Organic Search"
