Name,Engagement Level,Engagement Score,Top Engagement Signals,Company ID,Hubspot Company URL,Hubspot Company Company Name,Company name,Company domain
factors.ai,"Hot","3921.333333","Website Paid Search 1286.00",-,"https://app.hubspot.com/contacts/6188127/company/5142598417","Factors.Ai","Factors.Ai","factors.ai"
ford.com,"Hot","1.333333",-,-,"https://app.hubspot.com/contacts/6188127/company/18766368426","Ford Motor Company","Ford Motor Company","ford.com"
witbybit.com,-,-,-,"witbybit.com",-,-,"Wit By Bit","witbybit.com"
ynov.com,-,-,-,"ynov.com",-,-,"Ynov","ynov.com"
aman.com,"Hot","2.666667",-,-,-,-,"AMAN","aman.com"
global.ntt,"Hot","2","Website Paid Search 1.00",-,"https://app.hubspot.com/contacts/6188127/company/17012940038","NTT","NTT","global.ntt"
theharmonytrust.org,-,-,-,"theharmonytrust.org",-,-,-,-
accenture.com,"Hot","78.333333","Website Paid Search 33.00,sLinkedin Ad Clicked 1.00",-,"https://app.hubspot.com/contacts/6188127/company/7898962538","Accenture","Accenture","accenture.com"
govt.nz,-,"18",-,-,-,-,"Tertiary Education Commission","tec.govt.nz"
notts-fire.gov.uk,-,-,-,"notts-fire.gov.uk",-,-,"Nottinghamshire Fire & Rescue Service","notts-fire.gov.uk"
capexus.cz,-,-,-,"capexus.cz",-,-,"CAPEXUS","capexus.cz"
shooliniuniversity.com,-,-,-,-,-,-,"Shoolini University","shooliniuniversity.com"
arthaanimation.com,-,-,-,"arthaanimation.com",-,-,"Artha Animation","arthaanimation.com"
healthplix.com,-,-,-,-,-,-,"HealthPlix","healthplix.com"
nozebra.dk,-,-,-,"nozebra.dk",-,-,"No Zebra","nozebra.dk"
verdantis.com,-,-,-,-,-,-,"Verdantis","verdantis.com"
kisan.in,-,-,-,"kisan.in",-,-,"KISAN","kisan.in"
adidas.com,"Hot","0.666667",-,-,"https://app.hubspot.com/contacts/6188127/company/18760920088","Adidas","Adidas","adidas.com"
redingtongroup.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/16994589704","Redington","Redington","redingtongroup.com"
tangence.com,"Ice","0","",-,-,"Tangence","Tangence","tangence.com"
effigoglobal.com,"Hot","2.666667",-,-,"https://app.hubspot.com/contacts/6188127/company/18598993317","Effigo","Effigo","effigoglobal.com"
amnet-systems.com,-,-,-,"amnet-systems.com",-,-,-,-
frostcreative.co.uk,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/16256815687","Frost Creative Ltd",-,-
in4velocity.com,-,-,-,-,-,"In4Velocity","In4Velocity Systems","in4velocity.com"
dhiraagu.com.mv,-,-,-,"dhiraagu.com.mv",-,-,"Dhiraagu","dhiraagu.com.mv"
desicrew.in,-,-,-,"desicrew.in",-,-,"DesiCrew Solutions","desicrew.in"
lenovo.com,"Hot","26","Website Paid Search 9.00",-,-,"Lenovo Group Ltd.","Lenovo Group Ltd.","lenovo.com"
denave.com,"Hot","16","Website Paid Search 5.00",-,"https://app.hubspot.com/contacts/6188127/company/9152698789","Denave India Private Limited","Denave","denave.com"
yandex.com,"Hot","7.333333","Website Paid Search 2.00",-,-,"Yandex NV","Yandex NV","yandex.com"
grantthornton.com,"Hot","7.333333",-,-,"https://app.hubspot.com/contacts/6188127/company/18836501088","Grant Thornton International","Grant Thornton International","grantthornton.com"
cashflows.com,-,-,-,"cashflows.com",-,-,"CashFlows","cashflows.com"
fourthpartner.co,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/7842349448","Fourth Partner Energy","Fourth Partner Energy","fourthpartner.co"
ilink-digital.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/18317962678","iLink Systems","iLink Systems","ilink-digital.com"
gi-de.com,-,-,-,"gi-de.com",-,-,"Giesecke & Devrient","gi-de.com"
mittalsoftwarelabs.com,-,-,-,"mittalsoftwarelabs.com",-,-,"Mittal Software Labs","mittalsoftwarelabs.com"
salesboxai.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/8000176163","SalesBox","SalesBox","salesboxai.com"
santander.co.uk,-,-,-,"santander.co.uk",-,-,"Santander UK","santander.co.uk"
acomerpr.org,-,-,-,"acomerpr.org",-,-,"ACOMERPR","acomerpr.org"
thesunflowerlab.com,-,-,-,"thesunflowerlab.com",-,-,"Sunflower Lab","thesunflowerlab.com"
cognizant.com,"Hot","19.333333","Website Paid Search 10.00",-,"https://app.hubspot.com/contacts/6188127/company/17180075910","Cognizant Technology Solutions Corporation","Cognizant Technology Solutions Corporation","cognizant.com"
worldlink.com.np,-,"15.333333",-,-,-,-,"WorldLink Communications","worldlink.com.np"
mgenindia.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/7878588545","MicroGenesis CADSoft","MICROGENESIS CAD SOFT","mgenindia.com"
gal.com,-,-,-,"gal.com",-,-,"G.A.L. Manufacturing","gal.com"
invixium.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/7443209620","Invixium","Invixium","invixium.com"
punjabchemicals.com,-,-,-,"punjabchemicals.com",-,-,"Punjab Chemicals & Crop Protection Limited","punjabchemicals.com"
nextdoor.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/5344544835","Nextdoor Holdings, Inc.","Nextdoor","nextdoor.com"
wego.com,"Hot","6.666667","Website Paid Search 3.00",-,-,"Wego","Wego","wego.com"
growth.cx,"Hot","54.666667","Website Paid Search 20.00",-,"https://app.hubspot.com/contacts/6188127/company/10281207363","growth.cx","growth.cx","growth.cx"
apxby.com,"Hot","2.666667",-,-,"https://app.hubspot.com/contacts/6188127/company/17465565483","Apxby",-,-
nocsmart.com,"Hot","0.666667",-,-,"https://app.hubspot.com/contacts/6188127/company/18838752001","NOC SMART","NOC SMART","nocsmart.com"
cpcl.co.in,-,-,-,"cpcl.co.in",-,-,"Chennai Petroleum Corporation Limited","cpcl.co.in"
perkinelmer.com,-,-,-,"perkinelmer.com",-,-,"PerkinElmer, Inc.","perkinelmer.com"
